restaurant,items,price,date
KFC - Electronic City,Chicken Zinger*,142.0,2019-04-17
KFC - Electronic City,4pc Hot Wings*,123.0,2019-04-17
KFC - Electronic City,Large Popcorn,190.0,2019-04-17
KFC - Electronic City,2 Pc Hot & Crispy*,190.0,2019-04-17
KFC - Electronic City,Veg Zinger,133.0,2019-04-17
KFC - Electronic City,3 Pc Boneless Strips*,123.0,2019-04-17
KFC - Electronic City,4 Pc Hot & Crispy*,361.0,2019-04-17
KFC - Electronic City,Big 8,475.0,2019-04-17
KFC - Electronic City,Big 8 Meal,618.0,2019-04-17
KFC - Electronic City,Wednesday Spl Meal,665.0,2019-04-17
KFC - Electronic City,Friendship Bucket Meal,666.0,2019-04-17
KFC - Electronic City,Big 8,475.0,2019-04-17
KFC - Electronic City,Wednesday Special Combo,523.0,2019-04-17
KFC - Electronic City,Wednesday Strips Bucket,333.0,2019-04-17
KFC - Electronic City,Triple Treat,642.0,2019-04-17
KFC - Electronic City,Chick & Share,380.0,2019-04-17
KFC - Electronic City,Wednesday Special Deal,665.0,2019-04-17
KFC - Electronic City,8 Pc Hot & Crispy*,619.0,2019-04-17
KFC - Electronic City,Ultimate Savings Bucket,570.0,2019-04-17
KFC - Electronic City,Friendship Bucket,619.0,2019-04-17
KFC - Electronic City,Wednesday Bucket,523.0,2019-04-17
KFC - Electronic City,Chick & Share Bucket with 3 Pepsi,452.0,2019-04-17
KFC - Electronic City,Playing 11,427.0,2019-04-17
KFC - Electronic City,Playing 11 Meal,570.0,2019-04-17
KFC - Electronic City,Mingles Bucket*,284.0,2019-04-17
KFC - Electronic City,6 Pc Hot & Crispy*,523.0,2019-04-17
KFC - Electronic City,6 Pc Smoky Grilled,523.0,2019-04-17
KFC - Electronic City,4 Pc Smoky Grilled,361.0,2019-04-17
KFC - Electronic City,,361.0,2019-04-17
KFC - Electronic City,8 Pc Smoky Grilled,619.0,2019-04-17
KFC - Electronic City,,190.0,2019-04-17
KFC - Electronic City,Zinger Combo,218.0,2019-04-17
KFC - Electronic City,5 in 1 Zinger Box,227.0,2019-04-17
KFC - Electronic City,Double Down Combo,427.0,2019-04-17
KFC - Electronic City,,133.0,2019-04-17
KFC - Electronic City,,142.0,2019-04-17
KFC - Electronic City,2 Double Down burgers,370.0,2019-04-17
KFC - Electronic City,Popcorn Rice duo,189.0,2019-04-17
KFC - Electronic City,Popcorn Rice Combo,208.0,2019-04-17
KFC - Electronic City,5 in 1 - Rice Box,219.0,2019-04-17
KFC - Electronic City,Chicken Rice Bowl.,128.0,2019-04-17
KFC - Electronic City,Smoky Rice Bowl & Pepsi.,204.0,2019-04-17
KFC - Electronic City,Chicken Rice Bowl & Pepsi,171.0,2019-04-17
KFC - Electronic City,Chicken Rice Bowl & Pepsi.,171.0,2019-04-17
KFC - Electronic City,Veg Rice Bowl & Pepsi,171.0,2019-04-17
KFC - Electronic City,Smoky Rice Bowl.,171.0,2019-04-17
KFC - Electronic City,Chicken Rice Bowl.,128.0,2019-04-17
KFC - Electronic City,Veg Rice Bowl*,128.0,2019-04-17
KFC - Electronic City,6 PC Strips with dips,228.0,2019-04-17
KFC - Electronic City,4 Pc Hot & Crispy*,361.0,2019-04-17
KFC - Electronic City,6 Pc Boneless Strips,204.0,2019-04-17
KFC - Electronic City,,190.0,2019-04-17
KFC - Electronic City,,123.0,2019-04-17
KFC - Electronic City,,123.0,2019-04-17
KFC - Electronic City,4 Pc Veg Strips*,123.0,2019-04-17
KFC - Electronic City,2 Pc Hot & Crispy*,190.0,2019-04-17
KFC - Electronic City,1 Pc Hot & Crispy*,104.0,2019-04-17
KFC - Electronic City,2 Pc Smoky Grilled,190.0,2019-04-17
KFC - Electronic City,1 Pc Smoky Grilled,104.0,2019-04-17
KFC - Electronic City,Pepsi.,57.0,2019-04-17
KFC - Electronic City,Pepsi Can,28.0,2019-04-17
KFC - Electronic City,Red Bull Energy Drink,133.0,2019-04-17
KFC - Electronic City,7-UP.,57.0,2019-04-17
KFC - Electronic City,Mirinda,57.0,2019-04-17
Sitara Veg.,Rava Idli,40.0,2019-04-17
Sitara Veg.,Sitara's Special Grilled Sandwich,90.0,2019-04-17
Sitara Veg.,Baby Corn 65,140.0,2019-04-17
Parotta Kadai,Chicken Biryani,130.0,2019-04-17
Sitara Veg.,Baby Corn Manchurian,140.0,2019-04-17
Sitara Veg.,Chilli Baby Corn,140.0,2019-04-17
Parotta Kadai,Chettinad Chicken Varuval,140.0,2019-04-17
Parotta Kadai,Chettinad Chicken,140.0,2019-04-17
Sitara Veg.,Chilli Mushroom,150.0,2019-04-17
Sitara Veg.,Chilli Paneer,160.0,2019-04-17
