restaurant,items,price,date
Biryani Blues (DLF City Phase 4),Kheema Biryani,425.0,2019-04-17
Biryani Blues (DLF City Phase 4),Biryani Rice,199.0,2019-04-17
Biryani Blues (DLF City Phase 4),Paneer Biryani,335.0,2019-04-17
Biryani Blues (DLF City Phase 4),Chicken Boneless Biryani,399.0,2019-04-17
Biryani Blues (DLF City Phase 4),Soya Biryani,275.0,2019-04-17
Biryani Blues (DLF City Phase 4),Egg Biryani,295.0,2019-04-17
Biryani Blues (DLF City Phase 4),Veg. Biryani,275.0,2019-04-17
Biryani Blues (DLF City Phase 4),Fiery Chicken 65 Biryani,399.0,2019-04-17
Biryani Blues (DLF City Phase 4),Chicken Biryani,339.0,2019-04-17
Biryani Blues (DLF City Phase 4),Mutton Biryani,399.0,2019-04-17
Biryani Blues (DLF City Phase 4),Mutton Boneless Biryani,445.0,2019-04-17
Biryani Blues (DLF City Phase 4),Chicken Biryani Handi,499.0,2019-04-17
Biryani Blues (DLF City Phase 4),Veg Biryani Handi,350.0,2019-04-17
Biryani Blues (DLF City Phase 4),Mutton Biryani Handi,695.0,2019-04-17
Biryani Blues (DLF City Phase 4),Chicken Biryani Combo with Chicken Nzm (Serves 1),295.0,2019-04-17
Biryani Blues (DLF City Phase 4),Veg Biryani Combo with Fiery Potato 65 (Serves 1),250.0,2019-04-17
Biryani Blues (DLF City Phase 4),Chicken Biryani Combo with Fiery Chkn 65(Serves 1),295.0,2019-04-17
Biryani Blues (DLF City Phase 4),Veg Biryani Combo with Fiery Paneer 65 (Serves 1),275.0,2019-04-17
Biryani Blues (DLF City Phase 4),Mutton Biryani Combo with Chicken Nzm (Serves 1),365.0,2019-04-17
Biryani Blues (DLF City Phase 4),Mutton Biryani Combo with Fiery Chkn 65 (Serves 1),365.0,2019-04-17
Biryani Blues (DLF City Phase 4),Fiery Potato 65,225.0,2019-04-17
Biryani Blues (DLF City Phase 4),Chicken Nizami,279.0,2019-04-17
Biryani Blues (DLF City Phase 4),Fiery Paneer 65,275.0,2019-04-17
Biryani Blues (DLF City Phase 4),Chicken Seekh Kabab,279.0,2019-04-17
Biryani Blues (DLF City Phase 4),Chicken Shammi kabab,99.0,2019-04-17
Biryani Blues (DLF City Phase 4),Fiery Chicken 65,279.0,2019-04-17
Biryani Blues (DLF City Phase 4),Nargisi Kebab ( Indian Scotch Eggs),250.0,2019-04-17
Biryani Blues (DLF City Phase 4),Shikampuri Kebab,250.0,2019-04-17
Biryani Blues (DLF City Phase 4),Malabar Paratha (2),60.0,2019-04-17
Biryani Blues (DLF City Phase 4),Paneer Masala Combo,325.0,2019-04-17
Biryani Blues (DLF City Phase 4),Murgh Masala Combo,325.0,2019-04-17
Biryani Blues (DLF City Phase 4),Aam Panna,94.0,2019-04-17
Biryani Blues (DLF City Phase 4),Double Ka Meetha,125.0,2019-04-17
Biryani Blues (DLF City Phase 4),Chocolate Bomb,99.0,2019-04-17
Biryani Blues (DLF City Phase 4),Hazelnut Brownie (Eggless),79.0,2019-04-17
Biryani Blues (DLF City Phase 4),Khubani Ka Meetha,125.0,2019-04-17
Biryani Blues (DLF City Phase 4),Masala Shikanji,94.0,2019-04-17
Biryani Blues (DLF City Phase 4),Mineral Water Aquavess,47.0,2019-04-17
Biryani Blues (DLF City Phase 4),Pepsi 500 ML,57.0,2019-04-17
Biryani Blues (DLF City Phase 4),Lipton Iced Tea (Institutional),47.0,2019-04-17
Biryani Blues (DLF City Phase 4),Extra Egg,20.0,2019-04-17
Biryani Blues (DLF City Phase 4),Extra Raita,19.0,2019-04-17
Biryani Blues (DLF City Phase 4),Extra Salan,25.0,2019-04-17
Nukkadwala (Sector 25),Paneer Roll,150.0,2019-04-17
Nukkadwala (Sector 25),Egg Roll,99.0,2019-04-17
Nukkadwala (Sector 25),Chicken Roll,180.0,2019-04-17
Pizza Hut (DT Mega Mall),Triple Treat Box Veg,699.0,2019-04-17
Dunkin' Donuts (Good Earth Sec-50),Alive By Choco Donut,69.0,2019-04-17
Nukkadwala (Sector 25),Nukkad Samosa Tokri,234.0,2019-04-17
Nukkadwala (Sector 25),Keema samosa tokri,711.0,2019-04-17
Pizza Hut (DT Mega Mall),Triple Treat Box Non Veg,699.0,2019-04-17
Pizza Hut (DT Mega Mall),Family Fun Meal For 2,560.0,2019-04-17
Dunkin' Donuts (Good Earth Sec-50),Breakup Party Eclair Donut,69.0,2019-04-17
Dunkin' Donuts (Good Earth Sec-50),Choco Almond Donut,69.0,2019-04-17
Nukkadwala (Sector 25),Mixed Non- Veg. Assorted Tokri,390.0,2019-04-17
Nukkadwala (Sector 25),Chicken Pakoda tokri,596.0,2019-04-17
Pizza Hut (DT Mega Mall),Big Pizza Meal for 2,399.0,2019-04-17
Pizza Hut (DT Mega Mall),Big Pizza Meal for 4,699.0,2019-04-17
Speedy Chow (DLF City Phase 4),Tibetian Style Chicken Momos,190.0,2019-04-17
Dunkin' Donuts (Good Earth Sec-50),Choco Crumble Donut,69.0,2019-04-17
Dunkin' Donuts (Good Earth Sec-50),Choco Overdose Donut,69.0,2019-04-17
Nukkadwala (Sector 25),Bun Maska,54.0,2019-04-17
Nukkadwala (Sector 25),Bun maska with Jam,54.0,2019-04-17
Pizza Hut (DT Mega Mall),Magic Pizza Box Of 4 Non Veg,435.0,2019-04-17
Pizza Hut (DT Mega Mall),Magic Pizza Box Of 4 Veg,385.0,2019-04-17
Speedy Chow (DLF City Phase 4),Tibetian Style Veg Momos,170.0,2019-04-17
Speedy Chow (DLF City Phase 4),Hot and Sour Chicken Soup,145.0,2019-04-17
Dunkin' Donuts (Good Earth Sec-50),Death By Choco Donut,69.0,2019-04-17
Chinese Corner,Veg. Sweet Corn Soup,100.0,2019-04-17
Nukkadwala (Sector 25),Kande Poha,69.0,2019-04-17
Nukkadwala (Sector 25),Rava Upma,79.0,2019-04-17
Pizza Hut (DT Mega Mall),Veggie Feast,415.0,2019-04-17
Pizza Hut (DT Mega Mall),Double Cheese,415.0,2019-04-17
Speedy Chow (DLF City Phase 4),Manchow Chicken Soup,145.0,2019-04-17
Speedy Chow (DLF City Phase 4),Sweet Corn Chicken Soup,145.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Alive By Choco Donut,69.0,2019-04-17
Chinese Corner,Veg. Talumein Soup,110.0,2019-04-17
Chinese Corner,Veg. Clear Soup,100.0,2019-04-17
Nukkadwala (Sector 25),Idli Sambar,89.0,2019-04-17
Nukkadwala (Sector 25),Medu Vada Sambar,134.0,2019-04-17
Pizza Hut (DT Mega Mall),Tandoori Paneer,515.0,2019-04-17
Pizza Hut (DT Mega Mall),Veggie Lover,515.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Hot and Sour Soup,125.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Manchow Soup,125.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Breakup Party Eclair Donut,69.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Choco Almond Donut,69.0,2019-04-17
Chinese Corner,Veg. Hot & Sour Soup,100.0,2019-04-17
Chinese Corner,Veg. Manchow Soup,100.0,2019-04-17
Nukkadwala (Sector 25),Parsi Anda Bhurji,89.0,2019-04-17
Nukkadwala (Sector 25),Bun Anda,79.0,2019-04-17
Pizza Hut (DT Mega Mall),Country Feast,515.0,2019-04-17
Pizza Hut (DT Mega Mall),Veg Exotica,545.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Sweet Corn Soup,125.0,2019-04-17
Speedy Chow (DLF City Phase 4),Chicken Bento Box Noodles,300.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Choco Crumble Donut,69.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Choco Overdose Donut,69.0,2019-04-17
Chinese Corner,Veg. Mushroom Soup,100.0,2019-04-17
Chinese Corner,Veg. Lemon & Coriander Soup,100.0,2019-04-17
Nukkadwala (Sector 25),Tikki Chhole Chaat,99.0,2019-04-17
Nukkadwala (Sector 25),Samosa Chhole chaat,89.0,2019-04-17
Pizza Hut (DT Mega Mall),Margherita,275.0,2019-04-17
Pizza Hut (DT Mega Mall),Big Pizza Paneer,329.0,2019-04-17
Speedy Chow (DLF City Phase 4),Chicken Bento Box Rice,300.0,2019-04-17
Speedy Chow (DLF City Phase 4),Chicken Chinese Meal Deal,0.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Choco Pop Donut,69.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Cookie Cart Wheel Donut,69.0,2019-04-17
Chinese Corner,Veg. Lung Fung Soup,110.0,2019-04-17
Chinese Corner,Veg. Thukpa,130.0,2019-04-17
Nukkadwala (Sector 25),Aloo Tikki chaat,89.0,2019-04-17
Nukkadwala (Sector 25),Nukkad Samosa,29.0,2019-04-17
Pizza Hut (DT Mega Mall),Big Pizza Spice,279.0,2019-04-17
Pizza Hut (DT Mega Mall),Big Pizza Veggie,279.0,2019-04-17
Speedy Chow (DLF City Phase 4),Non Veg Main Course Deal,0.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Bento Box Noodles,260.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Death By Choco Donut,69.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Rainbow Pop Donut,69.0,2019-04-17
Chinese Corner,Non-Veg. Sweet Corn Soup,120.0,2019-04-17
Chinese Corner,Non-Veg. Talumein Soup,130.0,2019-04-17
Nukkadwala (Sector 25),Samosa Pav,59.0,2019-04-17
Nukkadwala (Sector 25),Aloo Chips,59.0,2019-04-17
Pizza Hut (DT Mega Mall),Chicken Pepperoni,515.0,2019-04-17
Pizza Hut (DT Mega Mall),Chicken Sausage n Tikka,545.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Bento Box Rice,260.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Main Course Deal,0.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Very Very Strawberry Donut,69.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Litchi Lychee Donut,69.0,2019-04-17
Chinese Corner,Non-Veg. Clear Soup,120.0,2019-04-17
Chinese Corner,Non-Veg. Hot & Sour Soup,120.0,2019-04-17
Nukkadwala (Sector 25),Amchi vada pav,54.0,2019-04-17
Nukkadwala (Sector 25),Chicken Pakoda,149.0,2019-04-17
Pizza Hut (DT Mega Mall),Chicken Supreme,625.0,2019-04-17
Pizza Hut (DT Mega Mall),Chicken Italiano,625.0,2019-04-17
Speedy Chow (DLF City Phase 4),Chicken Lunch Box,330.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Lunch Box,280.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Mango Tango Donut,69.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Alive by Choco-Mini Donut,39.0,2019-04-17
Chinese Corner,Non-Veg. Manchow Soup,120.0,2019-04-17
Chinese Corner,Non-Veg. Mushroom Soup,120.0,2019-04-17
Nukkadwala (Sector 25),Keema Samosa,79.0,2019-04-17
Nukkadwala (Sector 25),Tawa Pulao Veg.,159.0,2019-04-17
Pizza Hut (DT Mega Mall),Triple Chicken Feast,625.0,2019-04-17
Pizza Hut (DT Mega Mall),Big Pizza Spicy Chicken,359.0,2019-04-17
Burger King (Sohna Road),Chicken Fries,80.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Starter Platter,290.0,2019-04-17
Speedy Chow (DLF City Phase 4),Chicken Starter Platter,330.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Choco Frosted-Mini Donut,25.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Choco Tella-Mini Donut,39.0,2019-04-17
Chinese Corner,Non-Veg. Lemon & Coriander Soup,120.0,2019-04-17
