restaurant,items,price,date
McDonald's (Fun Republic),McAloo Tikki,180.0,2019-04-17
The Light Kitchen,Gluten Free Bajri Pancakes,185.0,2019-04-17
McDonald's (Fun Republic),McSpicy Chicken,288.0,2019-04-17
The Light Kitchen,Gluten Free Jowar Pancakes,185.0,2019-04-17
Thali & Combos By Treat,Green Salad,60.0,2019-04-17
McDonald's (Fun Republic),McChicken,246.0,2019-04-17
The Light Kitchen,Regular Pancake with Dressing,160.0,2019-04-17
Thali & Combos By Treat,Kachumber Salad,60.0,2019-04-17
McDonald's (Fun Republic),McVeggie,233.0,2019-04-17
Behrouz Biryani (Chadivali - Narayan Plaza),Dum Gosht Biryani (Boneless),409.0,2019-04-17
The Light Kitchen,Flavored Overnight Oats,180.0,2019-04-17
The Light Kitchen,Gluten Free Buckwheat Pancakes,215.0,2019-04-17
Thali & Combos By Treat,Russian Salad,90.0,2019-04-17
Thali & Combos By Treat,Tomato Soup,90.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),McAloo Tikki,180.0,2019-04-17
McDonald's (Fun Republic),McNuggets,292.0,2019-04-17
McDonald's (Fun Republic),Big Spicy Chicken Wrap,325.0,2019-04-17
Behrouz Biryani (Chadivali - Narayan Plaza),Subz-e-Biryani (Regular),261.0,2019-04-17
Behrouz Biryani (Chadivali - Narayan Plaza),Murgh Makhani Biryani (Regular),352.0,2019-04-17
The Light Kitchen,Spanish Tortilla Omelette with Toast,225.0,2019-04-17
The Light Kitchen,French Fiesta Omelette with Toast,180.0,2019-04-17
Thali & Combos By Treat,Cream of Tomato Soup,120.0,2019-04-17
Thali & Combos By Treat,Cream of Vegetable Soup,120.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),McVeggie,242.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),McChicken,256.0,2019-04-17
McDonald's (Fun Republic),New Chicken Maharaja Mac,325.0,2019-04-17
