price,area,psf,kind,address,society,bhk,config,avail,date
40000000,1500,26670,"Super built-up  Area
                    ",in Vile Parle (East),,3 BHK ,"3 Baths, 1 Balcony",Possession in Aug  2019,2019-05-12
4700000,445,None,"Carpet  Area
                    ",in Kalyan (East),Kohinoor Luxuria,1 BHK ,1 Bath,Possession in Sep  2021,2019-05-12
27500000,942,29194,"Carpet  Area
                    ",in Manish Nagar,Prabhav Silver Skyline,3 BHK ,,Possession in Dec  2021,2019-05-12
14500000,922,15727,"Built-up  Area
                    ",in Seawoods,Bhakti Avenue,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
10500000,1200,8750,"Super built-up  Area
                    ",in Mira Bhayandar,Ramnagar Shanti Gardens,2 BHK ,"3 Baths, 3 Balconies",Ready To Move,2019-05-12
8500000,695,12231,"Built-up  Area
                    ",in Bhandup (West),,1 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
8950000,750,11933,"Built-up  Area
                    ",in Dhokali,Vakratunda Residency,2 BHK ,2 Baths,Ready To Move,2019-05-12
4200000,525,8000,"Super built-up  Area
                    ",in Mira Road,,1 BHK ,1 Bath,Ready To Move,2019-05-12
16800000,980,17187,"Carpet  Area
                    ",in Pokhran-2,Cosmos Horizon,3 BHK ,3 Baths,Possession in Dec  2023,2019-05-12
16500000,801,20599,"Built-up  Area
                    ",in Neelam Nagar,,2 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
37500000,1000,37500,"Built-up  Area
                    ",in Vile Parle (West),,2 BHK ,2 Baths,Ready To Move,2019-05-12
12500000,413,30267,"Carpet  Area
                    ",in Manish Nagar,Prabhav Silver Skyline,1 BHK ,,Possession in Dec  2021,2019-05-12
25500000,1250,20400,"Super built-up  Area
                    ",in Vikhroli (East),Godrej Platinum,2 BHK ,2 Baths,Ready To Move,2019-05-12
22500000,646,34830,"Carpet  Area
                    ",in Sindhi Society Chembur,,2 BHK ,2 Baths,Ready To Move,2019-05-12
15000000,780,19230,"Super built-up  Area
                    ",in Vakola,,1 BHK ,"1 Bath, 3 Balconies",Ready To Move,2019-05-12
13600000,631,21553,"Carpet  Area
                    ",in Bhandup (West),CR Primo,2 BHK ,2 Baths,Possession in Dec  2020,2019-05-12
2200000,525,4191,"Carpet  Area
                    ",in Ambernath West,,1 BHK ,1 Bath,Ready To Move,2019-05-12
20000000,531,37664,"Carpet  Area
                    ",in Siddharath Nagar,Sai Complex CHS,2 BHK ,2 Baths,Ready To Move,2019-05-12
34500000,1200,28750,"Super built-up  Area
                    ",in Goregaon (East),Oberoi Woods,3 BHK ,2 Baths,Ready To Move,2019-05-12
15500000,999,15515,"Super built-up  Area
                    ",in Hiranandani Meadows,Hiranandani Mayflower,2 BHK ,2 Baths,Ready To Move,2019-05-12
7500000,700,10714,"Super built-up  Area
                    ",in Dahisar (East),Darvesh Horizon,1 BHK ,"2 Baths, 2 Balconies",Possession in Oct  2019,2019-05-12
7000000,612,11437,"Super built-up  Area
                    ",in Mira Road East,,1 BHK ,"1 Bath, 1 Balcony",Ready To Move,2019-05-12
235000000,5400,43519,"Super built-up  Area
                    ",in Gamdevi,,6 BHK ,"7 Baths, 3+ Balconies",Ready To Move,2019-05-12
42500000,1500,28333,"Plot  Area
                    ",in Trombay,,4 Bedroom ,"5 Baths, 2 Balconies",Ready To Move,2019-05-12
13400000,1029,13023,"Super built-up  Area
                    ",in Mulund (West),Marathon Millennia,2 BHK ,2 Baths,Ready To Move,2019-05-12
7100000,1145,6201,"Super built-up  Area
                    ",in Sector 22 Kamothe,Shreeji Palms,2 BHK ,"2 Baths, 3+ Balconies",Ready To Move,2019-05-12
